Mice,Phage,Cocktail ,Sample,PFU
M15,øEnC15,Entelli-02,Blood,357142.8571
M16,øEnC15,Entelli-02,Blood,357142.8571
M17,øEnC15,Entelli-02,Blood,6428571.429
M18,øEnC15,Entelli-02,Blood,35714.28571
M7,øEnC15,Cocktail-V1,Liver,59523809.52
M8,øEnC15,Cocktail-V1,Liver,59523809.52
M9,øEnC15,Cocktail-V1,Liver,16666666.67
M10,øEnC15,Cocktail-V1,Liver,66964285.71
M11,øEnC15,Cocktail-V1,Liver,8403361.345
M12,øEnC15,Cocktail-V1,Liver,23809523.81
M13,øEnC15,Entelli-02,Liver,13736263.74
M14,øEnC15,Entelli-02,Liver,1050420.168
M15,øEnC15,Entelli-02,Liver,4285714.286
M16,øEnC15,Entelli-02,Liver,8928571.429
M17,øEnC15,Entelli-02,Liver,0
M18,øEnC15,Entelli-02,Liver,2100840.336
M7,øEnC15,Cocktail-V1,Kidney,5952380.952
M8,øEnC15,Cocktail-V1,Kidney,10714285.71
M9,øEnC15,Cocktail-V1,Kidney,7142857.143
M10,øEnC15,Cocktail-V1,Kidney,25669642.86
M11,øEnC15,Cocktail-V1,Kidney,4201680.672
M12,øEnC15,Cocktail-V1,Kidney,23809523.81
M13,øEnC15,Entelli-02,Kidney,1785714.286
M14,øEnC15,Entelli-02,Kidney,8403361.345
M15,øEnC15,Entelli-02,Kidney,242857.1429
M16,øEnC15,Entelli-02,Kidney,0
M17,øEnC15,Entelli-02,Kidney,8928571.429
M18,øEnC15,Entelli-02,Kidney,1470588.235
M7,øEnC15,Cocktail-V1,Spleen,5952380.952
M8,øEnC15,Cocktail-V1,Spleen,26190476.19
M9,øEnC15,Cocktail-V1,Spleen,20000000
M10,øEnC15,Cocktail-V1,Spleen,44642857.14
M11,øEnC15,Cocktail-V1,Spleen,8403361.345
M12,øEnC15,Cocktail-V1,Spleen,15873015.87
M13,øEnC15,Entelli-02,Spleen,27472527.47
M14,øEnC15,Entelli-02,Spleen,2626050.42
M15,øEnC15,Entelli-02,Spleen,2285714.286
M16,øEnC15,Entelli-02,Spleen,5357142.857
M17,øEnC15,Entelli-02,Spleen,595238.0952
M18,øEnC15,Entelli-02,Spleen,840336.1345
M7,øNando,Cocktail-V1,Blood,
M8,øNando,Cocktail-V1,Blood,
M9,øNando,Cocktail-V1,Blood,
M10,øNando,Cocktail-V1,Blood,
M11,øNando,Cocktail-V1,Blood,
M12,øNando,Cocktail-V1,Blood,
M13,øNando,Entelli-02,Blood,10000000
M14,øNando,Entelli-02,Blood,100000000
M15,øNando,Entelli-02,Blood,100000000
M16,øNando,Entelli-02,Blood,100000000
M17,øNando,Entelli-02,Blood,125000000
M18,øNando,Entelli-02,Blood,100000000
M7,øNando,Cocktail-V1,Liver,
M8,øNando,Cocktail-V1,Liver,
M9,øNando,Cocktail-V1,Liver,
M10,øNando,Cocktail-V1,Liver,
M11,øNando,Cocktail-V1,Liver,
M12,øNando,Cocktail-V1,Liver,
M13,øNando,Entelli-02,Liver,38461538.46
M14,øNando,Entelli-02,Liver,51470588.24
M15,øNando,Entelli-02,Liver,40000000
M16,øNando,Entelli-02,Liver,31250000
M17,øNando,Entelli-02,Liver,41666666.67
M18,øNando,Entelli-02,Liver,88235294.12
M7,øNando,Cocktail-V1,Kidney,
M8,øNando,Cocktail-V1,Kidney,
M9,øNando,Cocktail-V1,Kidney,
M10,øNando,Cocktail-V1,Kidney,
M11,øNando,Cocktail-V1,Kidney,
