Strains,time,Type,N,percent_freePhages,sd,se,ci
E_aerogenes(OMP),0,Com,3,0,0,0,0
E_aerogenes(OMP),0,RM,2,0,0,0,0
E_aerogenes(OMP),0,WT,3,0,0,0,0
E_aerogenes(OMP),5,Com,3,-0.6099023836666666,0.06826834946312137,0.03941474993966457,0.1695879814202902
E_aerogenes(OMP),5,RM,2,-0.2572427465,0.042424942453049015,0.0299989645,0.3811729848102364
E_aerogenes(OMP),5,WT,3,-0.95472737,0.05671597505565649,0.03274498346573537,0.1408902924944473
E_aerogenes(OMP),10,Com,3,-1.0186788343333333,0.10200497741291649,0.05889260116802904,0.2533944111776665
E_aerogenes(OMP),10,RM,2,-0.26945504600000003,0.17043540835200346,0.12051603299999998,1.5313013892895853
E_aerogenes(OMP),10,WT,3,-0.9951954623333333,0.036003505271845884,0.020786633460470334,0.08943766520099419
