Strains,time,Type,N,percent_freePhages,sd,se,ci
AP057,0,Com,3,0,0,0,0
AP057,0,RM,2,0,0,0,0
AP057,0,WT,2,0,0,0,0
AP057,5,Com,3,-0.275915816,0.08740181122172805,0.05046145923652554,0.21711813533117783
AP057,5,RM,2,-0.1052116075,0.001991052182581984,0.0014078864999999966,0.017888894114296366
AP057,5,WT,2,-0.4059131305,0.026825519150262184,0.018968506499999982,0.2410177271284602
AP057,10,Com,3,-0.22292507266666667,0.10804463151401689,0.062379597089111574,0.2683977436961375
AP057,10,RM,2,-0.018301886500000003,0.040222379782971725,0.0284415175,0.3613837443624954
AP057,10,WT,2,-0.8107472815,0.0170757286187227,0.012074363500000018,0.15341933468999508
