Strains,time,Type,N,percent_freePhages,sd,se,ci
E_aerogenes(wbap),0,Com,3,0,0,0,0
E_aerogenes(wbap),0,RM,2,0,0,0,0
E_aerogenes(wbap),0,WT,3,0,0,0,0
E_aerogenes(wbap),5,Com,3,-0.336879729,0.10419868822581271,0.060159140696378864,0.25884389093665644
E_aerogenes(wbap),5,RM,2,0.005415424000000002,0.08701849230854275,0.061531366000000004,0.7818301340924985
E_aerogenes(wbap),5,WT,3,-0.95472737,0.05671597505565649,0.03274498346573537,0.1408902924944473
E_aerogenes(wbap),10,Com,3,-0.4399486193333333,0.13623715119542798,0.07865655591630809,0.33843184502599416
E_aerogenes(wbap),10,RM,2,-0.226716206,0.08676032196587728,0.061348811999999996,0.7795105655930907
E_aerogenes(wbap),10,WT,3,-0.9951954623333333,0.036003505271845884,0.020786633460470334,0.08943766520099419
