Phage,time,N,PFU,sd,se,ci
PFU/ml,0,3,23333333.333333332,7637626.158259734,4409585.518440985,18972915.1679838
PFU/ml,5,3,1200000,435889.89435406734,251661.14784235833,1082810.524735806
PFU/ml,10,3,1633333.3333333333,602771.3773341707,348010.216963685,1497367.1099995018
PFU/ml,15,3,9666666.666666666,3214550.2536643185,1855921.4542766742,7985385.511444123
PFU/ml,20,3,77000000,106578609.48614408,61533188.87668129,264755943.09044197
PFU/ml,25,3,150000000,137477270.8486752,79372539.33193772,341512473.02370834
PFU/ml,30,3,300000000,100000000,57735026.91896258,248413771.17503303
PFU/ml,40,3,580000000,495176736.1255979,285890421.89855427,1230087204.1910398
