Phage,time,N,PFU,sd,se,ci
øNando,0,3,14000000,5291502.622129181,3055050.463303894,13144821.215456856
øNando,5,3,1133333.3333333333,57735.026918962576,33333.333333333336,143421.75765831542
øNando,10,3,1166666.6666666667,288675.1345948129,166666.66666666666,717108.7882915769
øNando,15,3,35333333.333333336,14502873.278538061,8373237.791386981,36027134.439952545
øNando,20,3,201000000,191788946.50109532,110729399.89000213,476430154.70023745
øNando,25,3,436666666.6666667,85049005.48115382,49103066.20885412,211273441.86259472
øNando,30,3,1233333333.3333333,152752523.16519466,88191710.36881968,379458303.35967594
øNando,40,3,1713333333.3333333,1116482571.8896525,644601513.4260166,2773496461.343085
